ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
187;Macho;21;330.0;1.3;6.9;3.9;7.1;4.0;16.4;16.2;9.8;3.6;4.2;2.4;2.0
198;Macho;21;250.0;1.4;7.7;6.5;8.9;4.6;21.0;20.5;17.5;4.8;5.2;3.5;4.3
202;Macho;21;370.0;1.3;8.0;8.2;8.6;4.4;22.4;21.6;15.0;4.3;6.4;4.5;3.8
205;Macho;21;270.0;1.3;8.1;9.0;9.4;4.6;19.6;21.5;14.3;4.5;6.0;4.7;4.0
212;Macho;21;243.0;1.5;8.6;9.0;8.8;4.5;23.4;23.0;14.7;4.6;6.5;4.5;4.7
218;Macho;21;216.0;1.5;8.4;8.5;8.6;4.6;22.4;23.0;16.0;4.2;6.4;3.5;4.0
1;Macho;28;435.0;1.7;9.0;10.1;10.0;6.2;24.8;24.3;17.6;6.1;7.0;4.3;4.5
3;Macho;28;400.0;1.5;8.8;9.0;9.6;6.0;25.5;23.0;17.6;4.8;7.1;4.0;4.6
4;Macho;28;490.0;1.7;9.5;8.0;11.5;5.0;28.0;26.0;20.0;7.0;7.5;4.8;5.5
5;Femea;28;289.0;1.5;8.5;6.5;8.5;4.5;23.5;23.5;15.0;5.5;6.5;3.8;4.1
7;Femea;28;385.0;2.2;8.5;7.2;10.5;6.2;25.1;23.3;17.0;5.6;6.8;4.7;3.7
18;Macho;28;425.0;1.6;9.1;8.5;10.8;5.4;26.1;24.6;20.3;6.1;8.0;4.7;4.9
23;Femea;28;460.0;2.3;8.5;9.0;11.0;6.0;27.5;29.0;18.0;8.0;7.5;4.3;5.5
25;Macho;28;405.0;1.6;8.4;8.5;8.5;5.3;22.1;21.9;15.6;4.9;4.9;4.5;4.7
29;Femea;28;255.0;1.5;8.5;7.0;9.5;5.0;24.5;24.5;16.0;6.0;6.0;3.5;4.3
52;Macho;28;450.0;2.0;8.3;8.4;13.1;5.7;26.3;25.5;17.0;5.9;7.2;4.3;4.3
60;Femea;28;420.0;1.3;8.6;9.5;10.5;6.5;29.0;26.0;17.4;7.0;7.5;4.6;4.9
70;Macho;28;365.0;2.0;9.1;7.5;8.2;4.5;20.8;23.0;17.5;5.5;7.1;4.7;5.0
89;Femea;28;455.0;2.2;10.0;7.3;10.5;6.0;21.4;23.5;19.0;5.2;7.0;4.5;3.1
97;Femea;28;339.0;1.6;8.7;7.0;12.6;7.3;25.3;24.7;15.6;5.7;6.6;4.0;3.9
103;Macho;28;355.0;1.8;3.1;10.0;10.9;5.9;28.9;27.3;18.6;7.2;6.5;5.2;4.6
108;Femea;28;315.0;2.0;8.3;10.0;11.0;5.0;24.5;24.5;16.0;6.0;7.0;4.0;4.3
110;Femea;28;290.0;1.5;8.0;7.0;10.0;4.5;23.0;24.0;17.0;6.0;6.5;4.0;5.0
129;Macho;28;400.0;1.8;8.7;8.8;11.2;5.9;29.8;25.6;17.6;7.8;7.9;4.4;5.2
136;Macho;28;325.0;2.0;9.0;9.0;10.0;6.0;27.5;25.0;21.0;6.5;7.0;5.0;6.0
138;Femea;28;405.0;1.8;9.5;8.0;11.0;5.0;26.8;25.0;19.0;6.5;8.5;4.5;5.6
140;Femea;28;505.0;1.6;9.0;6.0;10.3;4.5;23.0;22.0;17.5;6.5;7.0;4.0;4.9
144;Macho;28;145.0;2.3;8.8;8.6;9.2;4.4;24.6;26.4;18.0;5.7;7.3;5.2;5.2
146;Macho;28;435.0;1.5;8.5;6.5;11.0;5.5;25.0;22.0;17.5;6.0;7.0;3.7;4.5
156;Macho;28;460.0;2.3;8.5;10.0;10.0;5.5;25.0;23.0;17.0;6.0;7.0;4.0;4.5
177;Macho;28;325.0;2.1;9.2;8.2;11.1;5.4;27.1;27.5;18.7;6.8;7.5;5.0;5.0
179;Femea;28;435.0;2.1;9.8;9.8;10.0;5.0;23.7;24.0;18.6;5.6;7.5;4.5;3.2
182;Macho;28;480.0;1.7;9.0;9.1;11.5;3.0;24.3;22.1;17.5;5.3;5.2;5.4;5.0
184;Femea;28;315.0;2.0;9.2;8.9;13.4;5.1;27.4;27.0;18.7;7.0;7.8;4.6;4.2
187;Macho;28;400.0;1.0;7.3;4.5;8.0;3.5;17.0;16.0;12.0;4.0;4.0;2.5;3.0
198;Femea;28;490.0;2.2;9.0;12.0;10.0;5.0;28.0;24.0;19.5;5.0;7.0;4.0;5.0
202;Macho;28;365.0;1.9;8.8;10.0;12.0;6.0;25.5;23.0;17.5;6.0;7.0;4.0;5.0
205;Femea;28;505.0;1.6;8.7;8.5;11.6;5.7;24.7;24.3;16.7;4.6;7.2;4.2;4.3
212;Macho;28;300.0;2.3;9.1;8.4;9.9;5.5;23.3;26.0;17.5;7.5;7.8;4.4;5.1
218;Macho;28;500.0;2.0;8.8;7.4;13.7;5.8;27.7;26.1;18.7;6.4;7.5;4.3;4.4
1;Macho;38;635.0;1.8;9.4;8.2;15.1;6.6;27.9;30.7;21.0;7.9;9.0;4.7;4.9
3;Macho;38;545.0;1.6;9.6;9.0;12.0;5.5;28.0;24.0;22.0;6.5;8.0;4.6;5.5
4;Macho;38;755.0;2.0;10.9;13.5;14.2;7.2;33.0;29.3;22.8;9.0;10.5;6.4;6.1
5;Femea;38;470.0;1.5;9.1;11.5;9.8;4.5;27.0;25.5;20.2;5.6;7.6;5.2;4.9
7;Femea;38;500.0;3.0;10.0;13.0;12.0;7.0;29.0;29.0;24.0;8.0;8.0;4.5;6.0
18;Femea;38;700.0;1.8;9.5;9.0;13.0;6.5;29.0;24.0;23.0;6.5;7.3;5.0;6.3
23;Macho;38;620.0;1.9;9.9;8.1;15.4;6.6;30.0;30.1;21.1;7.7;8.1;4.7;5.1
25;Macho;38;445.0;1.5;9.0;8.0;11.0;5.0;28.0;26.5;20.0;6.0;8.0;5.4;5.2
29;Femea;38;495.0;2.5;9.5;14.5;12.5;6.0;30.0;26.5;22.5;6.0;7.5;4.5;6.0
52;Macho;38;625.0;2.0;9.5;11.5;11.0;6.5;31.0;30.5;24.5;8.5;10.0;6.2;6.0
