ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
22;Femea;7;81;1.2;7.9;7.4;5.8;2.7;14.5;14.4;9.8;3.5;4.8;2.8;2.5
23;Macho;7;76;1.3;7.3;4.2;5.2;3.7;13.9;14.1;11.2;3.7;4.0;2.6;3.2
24;Macho;7;79;1.5;7.4;4.1;4.7;1.7;16.0;12.5;9.5;5.4;3.9;3.3;2.3
27;Femea;7;70;1.0;6.5;3.9;3.6;1.7;12.3;10.8;7.5;2.7;2.7;2.2;1.9
28;Femea;7;77;1.6;7.2;5.1;5.2;2.0;16.2;14.6;11.5;5.7;3.9;3.2;2.4
29;Femea;7;74;1.2;7.5;5.8;4.5;2.4;14.4;13.9;10.3;;3.8;2.4;2.4
30;Macho;7;79;1.1;8.1;7.0;5.7;2.4;14.0;12.0;10.5;4.0;3.7;3.4;2.5
32;Femea;7;90;2.0;7.3;6.2;5.7;3.3;15.2;15.8;10.4;5.1;5.4;4.0;3.5
33;Femea;7;88;1.5;7.6;3.7;5.2;1.5;15.5;14.6;12.0;5.3;3.9;3.5;3.0
34;Macho;7;83;1.0;6.4;4.4;4.4;2.5;15.5;15.0;9.3;3.5;3.8;2.1;1.9
35;Femea;7;68;1.0;7.5;7.0;6.8;3.1;14.1;14.2;9.6;3.3;4.0;3.2;2.3
36;Macho;7;79;1.5;7.1;5.9;5.6;2.7;15.5;14.9;9.8;3.7;5.0;3.9;2.6
37;Macho;7;87;1.4;7.5;5.8;4.2;2.3;17.2;17.0;10.7;3.6;3.9;2.8;2.8
38;Femea;7;71;1.6;8.1;4.9;6.3;2.2;14.5;14.2;12.7;4.7;4.7;3.7;2.5
40;Macho;7;93;1.2;6.8;6.9;4.8;3.1;15.7;16.1;9.7;3.6;4.2;3.1;2.7
41;Macho;7;74;1.5;8.1;3.6;5.0;2.4;13.2;13.3;13.4;4.3;3.7;3.0;2.7
42;Femea;7;90;1.2;8.3;5.7;5.1;2.5;16.7;15.7;12.1;5.3;4.2;2.6;3.1
43;Macho;7;94;1.3;8.1;5.6;3.7;3.2;16.3;15.7;10.5;4.6;4.6;3.0;3.0
44;Femea;7;88;1.1;7.3;5.3;4.5;2.9;14.5;10.9;15.3;3.7;3.9;2.6;2.3
45;Macho;7;88;1.1;8.2;7.6;6.2;2.8;14.5;13.6;10.6;3.7;3.9;2.9;3.1
46;Femea;7;84;1.3;7.9;6.7;6.3;4.5;15.9;14.9;11.0;4.9;5.0;3.5;3.4
49;Femea;7;96;1.3;7.4;5.7;6.3;3.7;15.1;16.1;10.5;4.3;4.7;3.0;2.8
51;Macho;7;69;1.5;7.4;4.4;5.5;2.1;13.7;14.8;11.1;4.8;3.6;2.8;2.6
52;Macho;7;90;1.4;8;4.4;5.1;1.9;14.5;14.7;12.4;4.8;3.6;2.9;2.0
53;Femea;7;69;1.4;8.2;4.1;4.7;2.3;14.8;13.9;12.7;4.2;3.7;3.1;2.3
54;Femea;7;78;1.1;6.3;4.1;4.6;2.9;14.2;14.5;9.0;3.1;3.7;2.1;2.5
55;Macho;7;44;1.0;7;4.5;3.5;1.7;13.2;13.2;7.7;3.6;4.1;2.8;2.2
56;Macho;7;85;1.1;8.3;6.8;8.1;2.9;16.1;13.0;11.0;3.7;3.3;2.4;2.3
58;Macho;7;79;1.3;8.2;5.8;4.7;2.9;15.8;15.8;11.0;3.8;3.4;3.0;2.9
59;Femea;7;92;2.2;7;6.8;5.8;3.2;16.3;15.0;11.4;5.0;4.7;4.5;3.4
60;Femea;7;70;1.5;6.4;4.3;4.8;2.5;12.9;12.1;9.5;3.0;3.5;2.7;2.4
61;Macho;7;85;1.7;7;3.6;4.9;2.0;15.0;11.7;10.8;5.6;4.5;3.0;2.0
63;Macho;7;92;1.3;7;5.2;4.7;2.9;16.0;16.3;11.5;4.1;3.9;2.7;2.3
64;Femea;7;78;1.3;7.6;4.1;5.0;3.3;14.0;15.5;10.4;4.0;4.3;2.9;2.4
